ARROND;NO_CIV;NOM_BATI;RUE;LONGITUDE;LATITUDE
Sainte-Foy–Sillery–Cap-Rouge;999;Bibliothèque Monique-Corriveau;Avenue Roland-Beaudin;-71.297429;46.772520
Charlesbourg;7950;Bibliothèque de Charlesbourg;1ière Avenue;-71.268858;46.860799
Sainte-Foy–Sillery–Cap-Rouge;1445;Bibliothèque Charles-H.-Blais;Avenue Maguire;-71.250453;46.779477
Charlesbourg;750;Aréna Arpidrome de Charlesbourg;Rue de la Sorbonne;-71.257053;46.864423
Sainte-Foy–Sillery–Cap-Rouge;3020;Piscine Sylvie Bernier;Boulevard Hochelaga;-71.298293;46.767141
Sainte-Foy–Sillery–Cap-Rouge;930;Centre sportif Ste-Foy;Avenue Roland-Beaudin;-71.299856;46.770803
Sainte-Foy–Sillery–Cap-Rouge;3300;Bureau Information Touristique Sainte-Foy;Avenue des Hôtels;-71.293913;46.757032
Sainte-Foy–Sillery–Cap-Rouge;4705;Bibliothèque Roger-Lemelin;Rue de la Promenade-des-Soeurs;-71.361822;46.746800
Laurentien;3490;Centre Culturel Georges-D'Or;Route de l'Aéroport;-71.435400;46.843385
Laurentien;1465;Bibliothèque Félix-Leclerc;Rue de l'Innovation;-71.419670;46.857456
Beauport;3515;Bibliothèque Étienne-Parent;Rue Clémenceau;-71.210939;46.865690
Beauport;3095;Bibliothèque du Chemin-Royal;Chemin Royal;-71.211857;46.849842
La Haute-Saint-Charles;530;Bibliothèque Le Tournesol;Rue Delage;-71.376923;46.907461
Charlesbourg;4215;Point de service du Jardin;Avenue des Sauges;-71.283593;46.881022
Sainte-Foy–Sillery–Cap-Rouge;1465;Point de service Champigny;Rue Félix-Antoine-Savard;-71.369155;46.773914
Charlesbourg;425;Point de service Bon-Pasteur;Rue du Bienheureux Jean-XXIII;-71.308802;46.900781
La Haute-Saint-Charles;262;Bibliothèque Chrystine-Brouillet;Rue Racine;-71.359916;46.852654
Sainte-Foy–Sillery–Cap-Rouge;835;Maison de la découverte;avenue Wilfrid-Laurier;-71.212838;46.806986
La Cité-Limoilou;;Place d'Youville;Place d'Youville;-71.213819;46.812346
Sainte-Foy–Sillery–Cap-Rouge;939;Marché de Sainte-Foy;Avenue Roland-Beaudin;-71.298578;46.772314
Sainte-Foy–Sillery–Cap-Rouge;;Anneau de glace Gaétan-Boucher;Avenue Roland-Beaudin;-71.300490;46.770953
La Cité-Limoilou;995;Palais Montcalm;Place D'Youville;-71.213376;46.811976
La Cité-Limoilou;2;Parc de l'Hôtel-de-ville;Rue des Jardins;-71.208188;46.813382
Les Rivières;3050;Aréna de Duberger;Boulevard Central;-71.293491;46.816405
